Class,v0.3.0,v0.4.0-incubating,v0.5.0-incubating,v0.6.0-incubating,v0.7.0-incubating,average
rsc/src/main/java/com/cloudera/livy/rsc/JobHandleImpl.java,0,106,0,0,0,21.2
rsc/src/main/java/org/apache/livy/rsc/ContextLauncher.java,0,457,11,37,7,102.4
api/src/test/java/org/apache/livy/TestLivyClientBuilder.java,0,81,0,0,0,16.2
client-common/src/main/java/org/apache/livy/client/common/TestUtils.java,0,79,0,0,0,15.8
test-lib/src/main/java/org/apache/livy/test/jobs/SharedVariableCounter.java,0,0,48,0,0,9.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/GetTablesJob.java,0,0,0,0,95,19
test-lib/src/main/java/com/cloudera/livy/test/jobs/FileReader.java,0,80,0,0,0,16
rsc/src/main/java/com/cloudera/livy/rsc/driver/RSCDriverBootstrapper.java,1,89,0,0,0,18
client-common/src/main/java/org/apache/livy/client/common/HttpMessages.java,0,142,6,8,0,31.2
rsc/src/main/java/com/cloudera/livy/rsc/FutureListener.java,0,27,0,0,0,5.4
rsc/src/main/java/org/apache/livy/rsc/driver/RSCDriverBootstrapper.java,0,96,0,0,0,19.2
rsc/src/test/java/org/apache/livy/rsc/driver/TestRSCDriver.java,0,0,0,0,36,7.2
client-common/src/main/java/com/cloudera/livy/client/common/Serializer.java,7,86,0,0,0,18.6
client-common/src/main/java/com/cloudera/livy/client/common/TestUtils.java,80,80,0,0,0,32
rsc/src/test/java/org/apache/livy/rsc/rpc/TestKryoMessageCodec.java,0,232,0,2,0,46.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/FetchResultSchemaJob.java,0,0,0,46,0,9.2
api/src/main/java/com/cloudera/livy/annotations/Private.java,0,30,0,0,0,6
client-http/src/main/java/com/cloudera/livy/client/http/JobHandleImpl.java,8,276,0,0,0,56.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/RegisterSessionJob.java,0,0,0,43,0,8.6
rsc/src/main/java/com/cloudera/livy/rsc/PingJob.java,0,31,0,0,0,6.2
rsc/src/main/java/org/apache/livy/rsc/rpc/KryoMessageCodec.java,0,162,0,0,0,32.4
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/GetColumnsJob.java,0,0,0,0,96,19.2
test-lib/src/main/java/com/cloudera/livy/test/jobs/Echo.java,0,37,0,0,0,7.4
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/SqlJob.java,0,0,0,92,3,19
test-lib/src/main/java/com/cloudera/livy/test/jobs/VoidJob.java,29,29,0,0,0,11.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ResultSet.java,0,0,0,58,85,28.6
client-common/src/test/java/org/apache/livy/client/common/TestClientConf.java,0,230,0,0,0,46
rsc/src/main/java/org/apache/livy/rsc/driver/SparkEntries.java,0,0,149,46,0,39
api/src/main/java/org/apache/livy/Job.java,0,29,0,0,0,5.8
rsc/src/main/java/com/cloudera/livy/rsc/rpc/Rpc.java,18,460,0,0,0,95.6
rsc/src/main/java/com/cloudera/livy/rsc/ReplJobResults.java,31,31,0,0,0,12.4
rsc/src/main/java/com/cloudera/livy/rsc/RSCConf.java,8,143,0,0,0,30.2
client-common/src/main/java/org/apache/livy/client/common/ClientConf.java,0,274,28,0,0,60.4
api/src/main/java/com/cloudera/livy/Job.java,0,29,0,0,0,5.8
rsc/src/main/java/com/cloudera/livy/rsc/rpc/RpcServer.java,15,312,0,0,0,65.4
rsc/src/main/java/com/cloudera/livy/rsc/rpc/SaslHandler.java,0,116,0,0,0,23.2
test-lib/src/main/java/com/cloudera/livy/test/jobs/SmallCount.java,0,49,0,0,0,9.8
api/src/main/java/org/apache/livy/LivyClientFactory.java,0,44,2,0,0,9.2
examples/src/main/java/com/cloudera/livy/examples/PiApp.java,102,102,0,0,0,40.8
api/src/main/java/org/apache/livy/JobContext.java,0,70,54,0,0,24.8
client-http/src/main/java/org/apache/livy/client/http/LivyConnection.java,0,235,0,0,0,47
rsc/src/test/java/org/apache/livy/rsc/rpc/TestRpc.java,0,337,0,4,0,68.2
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/UnregisterSessionJob.java,0,0,0,48,0,9.6
rsc/src/main/java/com/cloudera/livy/rsc/ContextLauncher.java,60,514,0,0,0,114.8
client-common/src/test/java/com/cloudera/livy/client/common/TestHttpMessages.java,0,131,0,0,0,26.2
test-lib/src/main/java/org/apache/livy/test/jobs/Echo.java,0,36,0,0,0,7.2
test-lib/src/main/java/org/apache/livy/test/jobs/SmallCount.java,0,48,0,0,0,9.6
api/src/main/java/org/apache/livy/JobHandle.java,0,76,4,0,0,16
rsc/src/test/java/org/apache/livy/rsc/TestSparkClient.java,0,533,79,93,0,141
rsc/src/main/java/org/apache/livy/rsc/driver/Statement.java,0,59,0,0,2,12.2
test-lib/src/main/spark2/java/org/apache/livy/test/jobs/spark2/DatasetTest.java,0,63,0,0,0,12.6
rsc/src/main/java/org/apache/livy/rsc/BaseProtocol.java,0,240,28,0,0,53.6
rsc/src/main/java/com/cloudera/livy/rsc/rpc/RpcException.java,0,26,0,0,0,5.2
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/CatalogJobState.java,0,0,0,0,28,5.6
api/src/test/java/com/cloudera/livy/TestLivyClientBuilder.java,0,81,0,0,0,16.2
thriftserver/session/src/test/java/org/apache/livy/thriftserver/session/ThriftSessionTest.java,0,0,0,169,77,49.2
client-common/src/test/java/com/cloudera/livy/client/common/TestSerializer.java,11,79,0,0,0,18
rsc/src/test/java/com/cloudera/livy/rsc/rpc/TestRpc.java,26,310,0,0,0,67.2
client-common/src/test/java/com/cloudera/livy/client/common/TestClientConf.java,0,158,0,0,0,31.6
client-common/src/main/java/org/apache/livy/client/common/AbstractJobHandle.java,0,105,5,0,6,23.2
rsc/src/main/java/org/apache/livy/rsc/package-info.java,0,0,21,0,0,4.2
client-http/src/main/java/org/apache/livy/client/http/HttpClient.java,0,191,0,0,0,38.2
rsc/src/main/java/org/apache/livy/rsc/driver/RSCDriver.java,0,510,19,8,6,108.6
thriftserver/session/src/test/java/org/apache/livy/thriftserver/session/ColumnBufferTest.java,0,0,0,300,98,79.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/GetFunctionsJob.java,0,0,0,0,111,22.2
api/src/test/java/org/apache/livy/TestClientFactory.java,0,86,0,0,0,17.2
rsc/src/main/java/org/apache/livy/rsc/driver/BypassJobWrapper.java,0,75,0,42,0,23.4
examples/src/main/java/org/apache/livy/examples/PiApp.java,0,101,0,2,0,20.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ScalaIterator.java,0,0,0,48,0,9.6
rsc/src/main/java/com/cloudera/livy/rsc/ContextInfo.java,0,37,0,0,0,7.4
rsc/src/main/java/org/apache/livy/rsc/driver/BypassJob.java,0,51,0,0,0,10.2
rsc/src/main/java/com/cloudera/livy/rsc/driver/StatementState.java,40,40,0,0,0,16
rsc/src/main/java/org/apache/livy/rsc/driver/JobContextImpl.java,0,147,116,12,0,55
rsc/src/main/java/com/cloudera/livy/rsc/driver/MutableClassLoader.java,0,34,0,0,0,6.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/FetchResultJob.java,0,0,0,67,2,13.8
client-common/src/main/java/org/apache/livy/client/common/BufferUtils.java,0,42,0,0,0,8.4
rsc/src/main/java/com/cloudera/livy/rsc/driver/BypassJobWrapper.java,8,75,0,0,0,16.6
test-lib/src/main/java/org/apache/livy/test/jobs/VoidJob.java,0,28,0,0,0,5.6
client-common/src/test/java/com/cloudera/livy/client/common/TestBufferUtils.java,0,62,0,0,0,12.4
rsc/src/test/java/com/cloudera/livy/rsc/TestJobHandle.java,0,98,0,0,0,19.6
test-lib/src/main/java/org/apache/livy/test/jobs/SQLGetTweets.java,0,76,0,2,0,15.6
api/src/main/java/com/cloudera/livy/LivyClientFactory.java,0,44,0,0,0,8.8
client-common/src/test/java/org/apache/livy/client/common/TestHttpMessages.java,0,130,0,0,0,26
test-lib/src/main/java/com/cloudera/livy/test/jobs/Sleeper.java,0,38,0,0,0,7.6
api/src/main/java/org/apache/livy/package-info.java,0,0,21,0,0,4.2
client-common/src/test/java/org/apache/livy/client/common/TestSerializer.java,0,78,0,0,0,15.6
client-common/src/main/java/org/apache/livy/client/common/Serializer.java,0,85,0,0,0,17
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/SparkUtils.java,0,0,0,60,159,43.8
rsc/src/main/java/org/apache/livy/rsc/FutureListener.java,0,27,0,0,0,5.4
client-common/src/test/java/com/cloudera/livy/client/common/TestTestUtils.java,39,39,0,0,0,15.6
client-common/src/main/java/com/cloudera/livy/client/common/BufferUtils.java,0,43,0,0,0,8.6
rsc/src/main/java/com/cloudera/livy/rsc/Utils.java,0,118,0,0,0,23.6
api/src/test/java/com/cloudera/livy/TestClientFactory.java,0,86,0,0,0,17.2
api/src/main/java/com/cloudera/livy/LivyClient.java,0,109,0,0,0,21.8
client-http/src/main/java/org/apache/livy/client/http/JobHandleImpl.java,0,273,2,0,0,55
api/src/main/java/org/apache/livy/LivyClientBuilder.java,0,163,6,0,0,33.8
test-lib/src/main/spark2/java/com/cloudera/livy/test/jobs/spark2/SparkSessionTest.java,39,39,0,0,0,15.6
test-lib/src/main/java/com/cloudera/livy/test/jobs/GetCurrentUser.java,0,33,0,0,0,6.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/CleanupStatementJob.java,0,0,0,47,7,10.8
test-lib/src/main/java/org/apache/livy/test/jobs/FileReader.java,0,79,0,0,0,15.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/DataType.java,0,0,0,35,3,7.6
test-lib/src/main/java/com/cloudera/livy/test/jobs/Failure.java,0,35,0,0,0,7
test-lib/src/main/java/org/apache/livy/test/jobs/GetCurrentUser.java,0,32,0,0,0,6.4
test-lib/src/main/spark2/java/com/cloudera/livy/test/jobs/spark2/DatasetTest.java,64,64,0,0,0,25.6
test-lib/src/main/java/org/apache/livy/test/apps/FailingApp.java,0,39,0,0,0,7.8
client-common/src/test/java/com/cloudera/livy/client/common/TestAbstractJobHandle.java,0,93,0,0,0,18.6
rsc/src/main/java/org/apache/livy/rsc/RSCConf.java,0,212,12,0,3,45.4
rsc/src/main/java/org/apache/livy/rsc/driver/AddJarJob.java,0,42,0,0,0,8.4
rsc/src/main/java/org/apache/livy/rsc/Utils.java,0,118,0,0,12,26
rsc/src/main/java/org/apache/livy/rsc/PingJob.java,0,31,0,0,0,6.2
rsc/src/main/java/org/apache/livy/rsc/JobHandleImpl.java,0,106,0,0,0,21.2
rsc/src/main/java/com/cloudera/livy/rsc/driver/JobContextImpl.java,38,147,0,0,0,37
test-lib/src/main/java/org/apache/livy/test/apps/SimpleSparkApp.java,0,71,0,0,0,14.2
test-lib/src/main/java/org/apache/livy/test/jobs/Sleeper.java,0,37,0,0,0,7.4
rsc/src/main/java/org/apache/livy/rsc/DriverProcessInfo.java,0,42,0,0,0,8.4
rsc/src/main/java/com/cloudera/livy/rsc/rpc/KryoMessageCodec.java,0,162,0,0,0,32.4
rsc/src/main/java/org/apache/livy/rsc/driver/StatementState.java,0,86,0,0,0,17.2
rsc/src/main/java/org/apache/livy/rsc/ContextInfo.java,0,37,0,0,0,7.4
rsc/src/main/java/com/cloudera/livy/rsc/driver/Statement.java,39,39,0,0,0,15.6
rsc/src/main/java/com/cloudera/livy/rsc/driver/RSCDriver.java,108,510,0,0,0,123.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/StatementState.java,0,0,0,40,1,8.2
client-http/src/main/java/com/cloudera/livy/client/http/HttpClient.java,0,194,0,0,0,38.8
test-lib/src/main/java/org/apache/livy/test/jobs/Failure.java,0,34,0,0,0,6.8
test-lib/src/main/java/com/cloudera/livy/test/jobs/SQLGetTweets.java,11,77,0,0,0,17.6
rsc/src/main/java/org/apache/livy/rsc/RSCClient.java,0,410,19,0,20,89.8
rsc/src/main/java/org/apache/livy/rsc/rpc/RpcServer.java,0,368,4,0,0,74.4
rsc/src/main/java/org/apache/livy/rsc/BypassJobStatus.java,0,38,0,0,0,7.6
test-lib/src/main/spark2/java/org/apache/livy/test/jobs/spark2/SparkSessionTest.java,0,38,0,0,0,7.6
rsc/src/main/java/org/apache/livy/rsc/driver/MutableClassLoader.java,0,34,0,0,0,6.8
client-common/src/main/java/com/cloudera/livy/client/common/HttpMessages.java,10,143,0,0,0,30.6
api/src/main/java/org/apache/livy/LivyClient.java,0,109,9,0,0,23.6
rsc/src/main/java/org/apache/livy/rsc/RSCClientFactory.java,0,116,6,0,0,24.4
api/src/main/java/com/cloudera/livy/JobHandle.java,0,76,0,0,0,15.2
rsc/src/main/java/com/cloudera/livy/rsc/RSCClientFactory.java,0,113,0,0,0,22.6
api/src/main/java/org/apache/livy/annotations/Private.java,0,30,0,0,0,6
client-common/src/test/java/org/apache/livy/client/common/TestAbstractJobHandle.java,0,92,0,0,0,18.4
test-lib/src/main/java/com/cloudera/livy/test/apps/SimpleSparkApp.java,16,72,0,0,0,17.6
rsc/src/main/java/com/cloudera/livy/rsc/BypassJobStatus.java,0,40,0,0,0,8
rsc/src/main/java/org/apache/livy/rsc/rpc/SaslHandler.java,0,116,0,0,0,23.2
rsc/src/main/java/com/cloudera/livy/rsc/BaseProtocol.java,47,241,0,0,0,57.6
client-http/src/main/java/com/cloudera/livy/client/http/HttpClientFactory.java,0,41,0,0,0,8.2
client-http/src/main/java/com/cloudera/livy/client/http/HttpConf.java,33,83,0,0,0,23.2
rsc/src/main/java/org/apache/livy/rsc/driver/AddFileJob.java,0,40,0,0,0,8
rsc/src/main/java/org/apache/livy/rsc/driver/JobWrapper.java,0,99,0,40,0,27.8
client-common/src/main/java/com/cloudera/livy/client/common/AbstractJobHandle.java,0,106,0,0,0,21.2
rsc/src/main/java/com/cloudera/livy/rsc/driver/BypassJob.java,0,51,0,0,0,10.2
rsc/src/main/java/org/apache/livy/rsc/ReplJobResults.java,0,31,0,0,0,6.2
rsc/src/main/java/org/apache/livy/rsc/rpc/RpcDispatcher.java,0,219,11,0,0,46
rsc/src/test/java/org/apache/livy/rsc/TestJobHandle.java,0,98,0,0,0,19.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/GetSchemasJob.java,0,0,0,0,53,10.6
client-http/src/main/java/org/apache/livy/client/http/HttpClientFactory.java,0,40,0,0,0,8
rsc/src/test/java/com/cloudera/livy/rsc/TestSparkClient.java,76,533,0,0,0,121.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ColumnBuffer.java,0,0,0,371,173,108.8
client-http/src/main/java/com/cloudera/livy/client/http/LivyConnection.java,81,236,0,0,0,63.4
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/SparkCatalogJob.java,0,0,0,0,106,21.2
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ThriftSessionState.java,0,0,0,127,9,27.2
api/src/main/java/com/cloudera/livy/LivyClientBuilder.java,0,163,0,0,0,32.6
rsc/src/main/java/org/apache/livy/rsc/rpc/Rpc.java,0,460,3,0,0,92.6
rsc/src/main/java/com/cloudera/livy/rsc/driver/AddFileJob.java,40,40,0,0,0,16
client-common/src/test/java/org/apache/livy/client/common/TestBufferUtils.java,0,61,0,0,0,12.2
rsc/src/main/java/com/cloudera/livy/rsc/driver/JobWrapper.java,2,99,0,0,0,20.2
client-common/src/test/java/org/apache/livy/client/common/TestTestUtils.java,0,38,0,0,0,7.6
rsc/src/test/java/com/cloudera/livy/rsc/rpc/TestKryoMessageCodec.java,0,232,0,0,0,46.4
client-common/src/main/java/com/cloudera/livy/client/common/ClientConf.java,0,196,0,0,0,39.2
rsc/src/main/java/org/apache/livy/rsc/rpc/RpcException.java,0,26,0,0,0,5.2
test-lib/src/main/java/com/cloudera/livy/test/apps/FailingApp.java,0,40,0,0,0,8
api/src/main/java/com/cloudera/livy/JobContext.java,8,70,0,0,0,15.6
client-http/src/main/java/org/apache/livy/client/http/HttpConf.java,0,135,0,0,0,27
rsc/src/main/java/com/cloudera/livy/rsc/rpc/RpcDispatcher.java,0,219,0,0,0,43.8
rsc/src/main/java/com/cloudera/livy/rsc/driver/AddJarJob.java,35,42,0,0,0,15.4
rsc/src/main/java/com/cloudera/livy/rsc/RSCClient.java,91,403,0,0,0,98.8
