Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,,average
src/main/org/apache/tools/ant/taskdefs/optional/Native2Ascii.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/Parameterizable.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/zip/ExtraFieldUtils.java,0,0,0,0,0,0,0,6,0,0,,0.6
docs/nightlies.html,0,0,0,0,0,0,0,44,0,0,,4.4
src/main/org/apache/tools/ant/util/depend/bcel/FullAnalyzer.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/Move.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/taskdefs/optional/junit/Sleeper.java,0,0,0,0,0,39,0,0,0,0,,3.9
src/main/org/apache/tools/ant/util/ResourceUtils.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/HostInfo.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/UUEncoder.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4OutputStream.java,0,0,0,0,118,0,0,0,0,0,,11.8
src/main/org/apache/tools/ant/helper/ProjectHelper2.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHBase.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/XmlProperty.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/resources/selectors/Name.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/unix/Chgrp.java,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/sql.html,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/Diagnostics.java,0,0,0,0,0,0,0,3,0,0,,0.3
manual/Tasks/javadoc.html,0,0,0,0,0,0,0,0,0,73,,7.3
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java,0,0,0,0,0,61,0,14,0,0,,7.5
src/etc/testcases/taskdefs/get.xml,0,0,0,0,0,0,0,0,0,36,,3.6
src/main/org/apache/tools/ant/taskdefs/rmic/RmicAdapter.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/mail/ErrorInQuitException.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitVersionHelper.java,0,0,0,0,0,4,0,0,0,0,,0.4
src/etc/testcases/filters/expected/replacetokens.test,0,0,0,0,2,0,0,0,0,0,,0.2
src/tests/antunit/types/path-test.xml,0,0,0,0,0,0,25,0,0,0,,2.5
docs/manual/CoreTasks/subant.html,0,0,0,0,0,74,0,0,0,0,,7.4
src/main/org/apache/tools/ant/taskdefs/SQLExec.java,0,0,0,0,0,0,0,12,0,0,,1.2
src/main/org/apache/tools/ant/types/Environment.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/extension/resolvers/URLResolver.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/antunit/taskdefs/optional/depend/depend-test.xml,0,0,0,0,0,0,70,0,0,0,,7
src/script/ant.bat,0,0,0,0,0,0,3,1,0,0,,0.4
src/etc/testcases/taskdefs/optional/junit.xml,0,0,0,0,0,27,0,0,0,0,,2.7
src/main/org/apache/tools/ant/taskdefs/optional/SchemaValidate.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java,0,0,0,0,0,90,0,2,0,0,,9.2
src/main/org/apache/tools/ant/taskdefs/Javac.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/resources/Files.java,0,0,0,0,0,0,6,0,0,0,,0.6
manual/Tasks/depend.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/Project.java,0,0,0,0,0,0,6,0,0,0,,0.6
manual/Tasks/zip.html,0,0,0,0,0,0,0,4,0,0,,0.4
docs/manual/CoreTasks/loadproperties.html,0,0,0,0,10,0,0,0,0,0,,1
src/tests/junit/org/apache/tools/ant/taskdefs/PropertyTest.java,0,0,0,0,0,0,11,0,0,0,,1.1
src/main/org/apache/tools/ant/taskdefs/optional/extension/Extension.java,0,0,0,0,0,0,0,6,0,0,,0.6
src/main/org/apache/tools/ant/types/AbstractFileSet.java,0,0,0,0,21,0,0,4,0,0,,2.5
src/main/org/apache/tools/ant/taskdefs/optional/unix/Chown.java,0,0,0,0,0,0,0,4,0,0,,0.4
manual/proxy.html,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/war.html,0,0,0,0,4,0,0,0,0,0,,0.4
src/testcases/org/apache/tools/ant/taskdefs/ZipTest.java,0,0,0,0,20,0,0,0,0,0,,2
docs/manual/CoreTasks/ear.html,0,0,0,0,4,0,0,0,0,0,,0.4
manual/Tasks/vss.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/AggregateTransformer.java,0,0,0,0,0,3,0,0,0,0,,0.3
src/testcases/org/apache/tools/tar/TarEntryTest.java,0,0,0,0,74,0,0,0,0,0,,7.4
src/main/org/apache/tools/ant/util/UnicodeUtil.java,0,0,0,0,0,0,0,42,0,0,,4.2
src/main/org/apache/tools/ant/taskdefs/SignJar.java,0,0,0,0,0,90,0,0,0,0,,9
src/main/org/apache/tools/ant/taskdefs/optional/extension/Specification.java,0,0,0,0,0,0,0,8,0,0,,0.8
manual/Tasks/conditions.html,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/loadresource.html,0,0,0,0,0,0,3,0,0,0,,0.3
manual/Tasks/import.html,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Types/permissions.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/filters/SortFilter.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/exec.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/properties.html,0,0,0,0,0,0,0,0,0,41,,4.1
src/main/org/apache/tools/ant/util/RegexpPatternMapper.java,0,0,0,0,0,0,0,4,0,0,,0.4
src/tests/junit/org/apache/tools/ant/util/UnicodeUtilTest.java,0,0,0,0,0,0,0,30,0,0,,3
src/main/org/apache/tools/ant/types/selectors/ContainsRegexpSelector.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/optional/JavaxScriptRunner.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/ZipScanner.java,0,0,0,0,0,0,11,0,0,0,,1.1
manual/Tasks/input.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/ContainerMapper.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/antunit/taskdefs/exec/parrot.sh,0,0,0,0,0,19,0,0,0,0,,1.9
src/main/org/apache/tools/ant/taskdefs/optional/Javah.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/etc/testcases/core/taskcontainer.xml,0,0,0,0,10,0,0,0,0,0,,1
src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java,0,0,0,0,0,4,0,6,0,36,,4.6
manual/Tasks/ftp.html,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/taskdefs/PumpStreamHandler.java,0,0,0,0,0,0,0,4,0,0,,0.4
docs/manual/CoreTasks/genkey.html,0,0,0,0,9,0,0,0,0,0,,0.9
src/etc/testcases/taskdefs/subant/subant-test1/mysubant.xml,0,0,0,0,0,9,0,0,0,0,,0.9
manual/Types/namespace.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/junit.html,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/ccm.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/filters/TabsToSpaces.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/cvs.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/tutorial-writing-tasks.html,0,0,0,0,0,0,0,4,0,0,,0.4
contributors.xml,0,0,0,0,0,4,6,4,0,0,,1.4
src/main/org/apache/tools/ant/util/regexp/JakartaOroRegexp.java,0,0,0,0,5,0,0,0,0,0,,0.5
src/etc/testcases/filters/build.xml,0,0,0,0,20,0,0,0,0,0,,2
src/main/org/apache/tools/ant/taskdefs/optional/sound/SoundTask.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/Ant.java,0,0,0,0,0,0,6,2,0,0,,0.8
src/main/org/apache/tools/ant/types/optional/image/Ellipse.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/conditions.html,0,0,0,0,5,0,0,0,0,0,,0.5
src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java,0,0,0,0,0,22,12,0,0,0,,3.4
src/etc/testcases/taskdefs/java.xml,0,0,0,0,0,0,0,8,0,0,,0.8
src/main/org/apache/tools/ant/taskdefs/optional/extension/JarLibAvailableTask.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/EnumeratedAttribute.java,0,0,0,0,0,29,0,0,0,0,,2.9
src/main/org/apache/tools/ant/taskdefs/optional/jsp/compilers/JspCompilerAdapter.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/tutorial-HelloWorldWithAnt.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/ejb.html,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/include.html,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/OptionalTasks/netrexxc.html,0,0,0,0,0,0,0,24,0,0,,2.4
src/main/org/apache/tools/bzip2/CBZip2OutputStream.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/CopyPath.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/subant.html,0,0,0,0,0,0,0,0,8,0,,0.8
src/tests/antunit/taskdefs/loadresource-test.xml,0,0,0,0,0,0,24,0,0,0,,2.4
src/main/org/apache/tools/ant/types/CommandlineJava.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/ReplaceRegExp.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/antunit/taskdefs/tar-test.xml,0,0,0,0,0,0,33,0,0,0,,3.3
src/main/org/apache/tools/ant/launch/Locator.java,0,0,0,0,0,0,129,0,0,0,,12.9
src/testcases/org/apache/tools/ant/filters/StripJavaCommentsTest.java,0,0,0,0,88,0,0,0,0,0,,8.8
src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java,0,0,0,0,0,0,0,6,0,0,,0.6
manual/tutorial-tasks-filesets-properties.html,0,0,0,0,0,0,0,12,6,0,,1.8
src/main/org/apache/tools/ant/taskdefs/Ear.java,0,0,0,0,4,0,0,0,0,0,,0.4
src/main/org/apache/tools/ant/taskdefs/CallTarget.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/setproxy.html,0,0,0,0,0,0,0,0,8,0,,0.8
src/main/org/apache/tools/ant/types/resources/AbstractClasspathResource.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/delete.html,0,0,0,0,0,0,4,0,0,0,,0.4
src/tests/junit/org/apache/tools/ant/taskdefs/RmicAdvancedTest.java,0,0,0,0,0,0,20,0,0,0,,2
src/main/org/apache/tools/ant/types/FilterSet.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/developlist.html,0,0,0,0,0,0,0,0,4,0,,0.4
src/main/org/apache/tools/ant/types/selectors/ReadableSelector.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/rpm.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/launch/Launcher.java,0,0,0,0,0,0,75,0,0,0,,7.5
src/main/org/apache/tools/ant/types/selectors/BaseSelectorContainer.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/Parallel.java,0,0,0,0,0,8,0,0,0,0,,0.8
src/main/org/apache/tools/ant/types/selectors/SelectorUtils.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/j2ee/GenericHotDeploymentTool.java,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/replaceregexp.html,0,0,0,0,0,0,0,0,39,0,,3.9
src/main/org/apache/tools/ant/types/selectors/SelectorScanner.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/taskdefs/SignJarTest.java,0,0,0,0,0,10,0,0,0,0,,1
src/main/org/apache/tools/ant/taskdefs/Zip.java,0,0,0,0,0,11,0,8,0,0,,1.9
src/testcases/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskTest.java,0,0,0,0,0,68,0,0,0,0,,6.8
src/main/org/apache/tools/ant/taskdefs/optional/junit/XMLResultAggregator.java,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/util/KeepAliveInputStream.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/zip/ZipFile.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/taskdefs/optional/unix/SymlinkTest.java,0,0,0,0,0,26,0,0,0,0,,2.6
src/testcases/org/apache/tools/ant/taskdefs/optional/junit/NoVmCrash.java,0,0,0,0,0,35,0,0,0,0,,3.5
src/main/org/apache/tools/ant/types/resources/JavaConstantResource.java,0,0,0,0,0,0,66,0,3,0,,6.9
src/testcases/org/apache/tools/ant/taskdefs/CopyTest.java,0,0,0,0,20,0,0,0,0,0,,2
src/main/org/apache/tools/ant/types/resources/BZip2Resource.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/junit/org/apache/tools/ant/util/LineOrientedOutputStreamTest.java,0,0,0,0,0,0,0,7,0,0,,0.7
src/script/ant,0,0,0,0,0,0,0,0,8,0,,0.8
src/main/org/apache/tools/ant/taskdefs/Java.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/zip.html,0,0,0,0,2,0,0,0,0,0,,0.2
src/main/org/apache/tools/ant/util/ScriptRunner.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/StringUtils.java,0,0,0,0,0,0,0,0,0,21,,2.1
src/main/org/apache/tools/ant/taskdefs/condition/Os.java,0,0,0,0,13,0,0,0,0,0,,1.3
manual/Types/resources.html,0,0,0,0,0,0,0,0,44,0,,4.4
src/main/org/apache/tools/ant/taskdefs/Rmic.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/ZipFileSet.java,0,0,0,0,55,0,0,4,0,0,,5.9
src/main/org/apache/tools/ant/taskdefs/LoadResource.java,0,0,0,0,0,0,2,0,0,0,,0.2
manual/Tasks/signjar.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/email/Header.java,0,0,0,0,0,0,0,0,0,4,,0.4
docs/manual/CoreTasks/loadfile.html,0,0,0,0,0,0,3,0,0,0,,0.3
src/main/org/apache/tools/ant/taskdefs/Apt.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/taskdefs/JarTest.java,0,0,0,0,19,0,0,0,0,0,,1.9
src/tests/junit/org/apache/tools/ant/types/EnumeratedAttributeTest_Factory.java,0,0,0,0,0,7,0,0,0,0,,0.7
src/main/org/apache/tools/ant/taskdefs/Definer.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/get.html,0,0,0,0,0,0,0,0,0,45,,4.5
manual/Tasks/unzip.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/windows/Attrib.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/stylesheets/antmanual.css,0,0,0,0,0,0,0,0,20,0,,2
manual/Tasks/schemavalidate.html,0,0,0,0,0,0,0,0,4,0,,0.4
src/etc/testcases/taskdefs/move.xml,0,0,0,0,30,0,0,0,0,0,,3
src/main/org/apache/tools/ant/taskdefs/condition/AntVersion.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskMirrorImpl.java,0,0,0,0,0,64,0,0,0,0,,6.4
src/testcases/org/apache/tools/ant/taskdefs/MoveTest.java,0,0,0,0,22,0,0,0,0,0,,2.2
src/main/org/apache/tools/ant/types/defaults.properties,0,0,0,0,0,0,0,0,1,0,,0.1
src/main/org/apache/tools/tar/TarInputStream.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/filters/ReplaceTokensTest.java,0,0,0,0,88,0,0,0,0,0,,8.8
src/tests/junit/org/apache/tools/ant/taskdefs/GetTest.java,0,0,0,0,0,0,0,0,0,46,,4.6
src/main/org/apache/tools/ant/taskdefs/condition/Http.java,0,0,0,0,2,0,0,0,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Types/selectors.html,0,0,0,0,0,0,0,10,0,0,,1
src/main/org/apache/tools/ant/taskdefs/MatchingTask.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/junit/org/apache/tools/ant/util/StringUtilsTest.java,0,0,0,0,0,0,0,0,0,27,,2.7
src/etc/testcases/taskdefs/optional/unix/symlink.xml,0,0,0,0,0,51,0,0,0,0,,5.1
,0,0,0,134,1030,3462,1154,1240,342,570,7932,
