Class,2.0.0,2.1.0,2.2.0,2.3.0,2.4.0,rel/2.5.0,average
src/java/org/apache/ivy/core/resolve/VisitNode.java,126,15,31,0,0,0,28.66666667
src/java/org/apache/ivy/core/module/descriptor/MDArtifact.java,8,0,0,0,0,0,1.333333333
src/java/org/apache/ivy/core/resolve/ResolveData.java,36,0,33,96,0,0,27.5
src/java/org/apache/ivy/util/CredentialsUtil.java,0,0,4,0,0,0,0.666666667
test/java/org/apache/ivy/core/deliver/DeliverTest.java,0,0,102,0,0,0,17
src/java/org/apache/ivy/util/DefaultMessageImpl.java,51,0,0,0,0,0,8.5
test/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParserTest.java,101,0,0,0,55,0,26
test/java/org/apache/ivy/plugins/latest/LatestRevisionStrategyTest.java,61,0,0,0,0,0,10.16666667
src/java/org/apache/ivy/ant/AntMessageImpl.java,108,0,0,0,0,0,18
src/java/org/apache/ivy/plugins/version/ChainVersionMatcher.java,11,0,0,0,0,0,1.833333333
src/java/org/apache/ivy/core/settings/IvyVariableContainerImpl.java,2,0,0,0,0,0,0.333333333
src/java/fr/jayasoft/ivy/Ivy.java,6,0,0,0,0,0,1
src/java/org/apache/ivy/util/url/URLHandlerDispatcher.java,9,0,0,0,0,4,2.166666667
src/java/org/apache/ivy/plugins/version/AbstractVersionMatcher.java,10,0,0,0,0,0,1.666666667
src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,238,118,0,160,90,150,126
test/java/org/apache/ivy/plugins/resolver/PackagerResolverTest.java,4,0,85,0,0,0,14.83333333
test/java/org/apache/ivy/plugins/resolver/URLResolverTest.java,29,0,0,21,0,170,36.66666667
src/java/org/apache/ivy/core/retrieve/RetrieveEngine.java,49,5,0,2,0,28,14
src/java/org/apache/ivy/plugins/resolver/AbstractResourceResolver.java,370,0,0,0,0,0,61.66666667
src/java/org/apache/ivy/plugins/resolver/DependencyResolver.java,45,0,0,2,2,0,8.166666667
test/java/org/apache/ivy/plugins/report/XmlReportParserTest.java,7,0,0,0,0,0,1.166666667
test/java/org/apache/ivy/osgi/core/ManifestHeaderTest.java,0,0,0,0,5,0,0.833333333
src/java/org/apache/ivy/ant/IvyReport.java,278,2,0,2,0,0,47
src/java/org/apache/ivy/plugins/report/XmlReportWriter.java,20,0,0,6,6,20,8.666666667
src/java/org/apache/ivy/core/cache/CacheManager.java,57,0,0,0,0,0,9.5
src/java/org/apache/ivy/plugins/circular/CircularDependencyHelper.java,31,0,0,0,0,0,5.166666667
src/java/org/apache/ivy/plugins/circular/CircularDependencyException.java,0,0,0,0,0,12,2
test/java/org/apache/ivy/plugins/resolver/IBiblioHelper.java,0,0,0,0,0,70,11.66666667
src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorUpdater.java,102,0,66,97,20,86,61.83333333
src/java/org/apache/ivy/ant/IvyMakePom.java,4,0,0,0,0,0,0.666666667
src/java/org/apache/ivy/core/cache/RepositoryCacheManager.java,0,8,2,0,0,15,4.166666667
src/java/org/apache/ivy/plugins/conflict/ConflictManager.java,9,0,0,0,0,0,1.5
src/java/org/apache/ivy/core/module/id/MatcherLookup.java,0,0,0,0,153,0,25.5
src/java/org/apache/ivy/core/sort/ModuleInSort.java,180,0,0,0,0,0,30
src/java/org/apache/ivy/core/RelativeUrlResolver.java,31,0,0,0,0,0,5.166666667
src/java/org/apache/ivy/ant/IvyArtifactProperty.java,11,0,0,0,0,0,1.833333333
src/java/org/apache/ivy/ant/IvyInstall.java,55,0,0,14,0,0,11.5
src/java/org/apache/ivy/plugins/conflict/LatestCompatibleConflictManager.java,24,0,0,72,0,0,16
test/java/org/apache/ivy/ant/IvyInfoRepositoryTest.java,94,0,0,0,0,0,15.66666667
test/java/org/apache/ivy/ant/IvyDependencyTreeTest.java,0,0,0,0,0,37,6.166666667
test/java/org/apache/ivy/ant/IvyDeliverTest.java,134,0,0,58,58,0,41.66666667
src/java/org/apache/ivy/plugins/version/VersionRangeMatcher.java,56,0,0,0,0,0,9.333333333
test/java/org/apache/ivy/plugins/parser/xml/XmlModuleUpdaterTest.java,97,0,2,35,35,131,50
src/java/org/apache/ivy/core/sort/CollectionOfModulesToSort.java,105,0,0,0,0,0,17.5
src/java/org/apache/ivy/util/url/CredentialsStore.java,0,0,15,0,0,0,2.5
src/java/org/apache/ivy/osgi/repo/AbstractOSGiResolver.java,0,0,0,4,8,0,2
test/java/org/apache/ivy/ant/IvyAntSettingsTest.java,16,0,0,0,0,0,2.666666667
test/java/org/apache/ivy/ant/IvyArtifactReportTest.java,65,0,0,0,0,0,10.83333333
src/java/org/apache/ivy/ant/AntMessageLogger.java,132,0,0,0,0,0,22
src/java/org/apache/ivy/core/resolve/IvyNodeCallers.java,0,0,0,32,32,48,18.66666667
src/java/org/apache/ivy/plugins/repository/file/FileResource.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/core/module/descriptor/DefaultModuleDescriptor.java,52,2,0,20,31,0,17.5
src/java/org/apache/ivy/plugins/parser/AbstractModuleDescriptorParser.java,0,0,0,2,0,2,0.666666667
src/java/org/apache/ivy/plugins/repository/ssh/Scp.java,4,0,0,0,0,0,0.666666667
src/java/org/apache/ivy/ant/IvyBuildList.java,275,0,0,0,0,0,45.83333333
test/java/org/apache/ivy/plugins/version/LatestVersionMatcherTest.java,0,0,47,0,0,0,7.833333333
test/java/org/apache/ivy/plugins/conflict/LatestCompatibleConflictManagerTest.java,39,0,0,19,0,0,9.666666667
src/java/org/apache/ivy/plugins/repository/ResourceHelper.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/util/cli/CommandLineParser.java,0,38,0,0,0,0,6.333333333
src/java/org/apache/ivy/core/NormalRelativeUrlResolver.java,32,0,0,0,0,0,5.333333333
src/java/org/apache/ivy/plugins/repository/ssh/SshRepository.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/ant/IvyAntVariableContainer.java,8,0,0,0,0,0,1.333333333
src/java/org/apache/ivy/plugins/resolver/ChainResolver.java,151,15,32,0,0,0,33
src/java/org/apache/ivy/tools/analyser/JarJarDependencyAnalyser.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/util/StringUtils.java,6,0,0,0,0,6,2
src/java/org/apache/ivy/plugins/repository/file/FileRepository.java,19,0,0,0,0,0,3.166666667
src/java/org/apache/ivy/util/Configurator.java,41,0,0,0,0,0,6.833333333
test/java/org/apache/ivy/util/ConfiguratorTest.java,25,25,0,0,0,0,8.333333333
src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorWriter.java,4,0,0,0,0,0,0.666666667
src/java/org/apache/ivy/util/DefaultMessageLogger.java,51,0,0,0,0,0,8.5
test/java/org/apache/ivy/util/url/ArtifactoryListingTest.java,0,0,35,0,0,0,5.833333333
src/java/org/apache/ivy/core/publish/PublishEngine.java,46,0,5,0,0,0,8.5
test/java/org/apache/ivy/core/cache/CacheManagerTest.java,108,0,0,0,0,0,18
src/java/org/apache/ivy/ant/IvyCacheFileset.java,38,16,0,61,0,120,39.16666667
src/java/org/apache/ivy/plugins/version/LatestVersionMatcher.java,11,0,7,0,10,0,4.666666667
test/java/org/apache/ivy/ant/IvyBuildListTest.java,203,0,0,592,592,0,231.1666667
src/java/org/apache/ivy/ant/IvyArtifactReport.java,16,0,28,13,0,0,9.5
src/java/org/apache/ivy/core/settings/IvySettings.java,136,1,5,6,10,0,26.33333333
test/java/org/apache/ivy/core/settings/XmlSettingsParserTest.java,146,0,0,0,0,26,28.66666667
src/java/org/apache/ivy/ant/IvyBuildNumber.java,2,75,6,2,2,0,14.5
test/java/org/apache/ivy/ant/IvyConfigureTest.java,35,0,0,0,0,20,9.166666667
src/java/org/apache/ivy/plugins/parser/m2/PomReader.java,142,87,6,31,16,188,78.33333333
src/java/org/apache/ivy/ant/IvyTask.java,75,0,0,0,12,0,14.5
src/java/org/apache/ivy/core/settings/XmlSettingsParser.java,166,0,22,0,0,69,42.83333333
src/java/org/apache/ivy/plugins/repository/url/URLRepository.java,24,5,0,7,0,0,6
src/java/org/apache/ivy/plugins/namespace/Namespace.java,6,0,0,0,0,0,1
src/java/org/apache/ivy/Ivy.java,489,0,0,6,6,0,83.5
src/java/org/apache/ivy/core/cache/CacheUtil.java,50,0,0,0,0,0,8.333333333
src/java/org/apache/ivy/ant/IvyPublish.java,32,0,0,5,5,0,7
src/java/org/apache/ivy/util/Message.java,166,0,0,0,0,0,27.66666667
src/java/org/apache/ivy/osgi/repo/AbstractFSManifestIterable.java,0,0,0,13,0,0,2.166666667
src/java/org/apache/ivy/util/ConfigurationUtils.java,7,0,0,0,0,0,1.166666667
src/java/org/apache/ivy/util/DateUtil.java,0,0,0,42,42,0,14
src/java/org/apache/ivy/plugins/lock/FileBasedLockStrategy.java,0,0,0,0,226,0,37.66666667
src/java/org/apache/ivy/util/url/HttpClientHandler.java,126,27,148,11,9,3,54
src/java/org/apache/ivy/util/Checks.java,0,0,0,4,0,0,0.666666667
src/java/org/apache/ivy/plugins/version/PatternVersionMatcher.java,10,0,0,0,0,0,1.666666667
test/java/org/apache/ivy/core/resolve/ResolveTest.java,844,220,352,306,125,372,369.8333333
test/java/org/apache/ivy/ant/IvyAntSettingsBuildFileTest.java,52,19,0,0,0,0,11.83333333
src/java/org/apache/ivy/osgi/core/BundleInfoAdapter.java,0,0,0,0,6,0,1
src/java/org/apache/ivy/ant/IvyListModules.java,2,10,0,0,0,0,2
test/java/org/apache/ivy/ant/IvyPublishTest.java,67,0,22,226,49,0,60.66666667
src/java/org/apache/ivy/util/url/AbstractURLHandler.java,14,42,46,2,0,0,17.33333333
src/java/org/apache/ivy/core/cache/CacheMetadataOptions.java,0,0,0,8,0,0,1.333333333
src/java/org/apache/ivy/core/IvyPatternHelper.java,24,82,6,23,0,0,22.5
test/java/org/apache/ivy/core/module/descriptor/IvyMakePomTest.java,0,0,0,0,0,194,32.33333333
src/java/org/apache/ivy/util/ChecksumHelper.java,5,16,13,0,0,0,5.666666667
test/java/org/apache/ivy/plugins/conflict/RegexpConflictManagerTest.java,10,0,0,0,0,0,1.666666667
test/java/org/apache/ivy/ant/IvyPostResolveTaskTest.java,58,0,0,0,0,0,9.666666667
src/java/org/apache/ivy/ant/IvyConfigure.java,20,0,0,0,0,0,3.333333333
src/java/org/apache/ivy/core/pack/PackagingManager.java,0,0,0,0,0,14,2.333333333
src/java/org/apache/ivy/plugins/resolver/util/ResourceMDParser.java,10,0,0,0,0,0,1.666666667
test/java/org/apache/ivy/plugins/report/XmlReportWriterTest.java,14,0,0,0,0,4,3
src/java/org/apache/ivy/ant/IvyDependencyTree.java,0,0,0,0,0,78,13
src/java/org/apache/ivy/core/retrieve/RetrieveEngineSettings.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/plugins/repository/ssh/AbstractSshBasedRepository.java,58,0,0,0,0,0,9.666666667
test/java/org/apache/ivy/util/url/BasicURLHandlerTest.java,0,0,32,0,0,0,5.333333333
src/java/org/apache/ivy/util/PropertiesFile.java,0,0,4,0,0,0,0.666666667
src/java/org/apache/ivy/plugins/lock/DeleteOnExitHook.java,0,0,0,0,54,0,9
src/java/org/apache/ivy/plugins/resolver/DualResolver.java,12,0,0,0,0,0,2
src/java/org/apache/ivy/core/module/id/ModuleId.java,8,0,0,23,23,0,9
test/java/org/apache/ivy/util/url/HttpclientURLHandlerTest.java,12,0,32,0,0,75,19.83333333
test/java/org/apache/ivy/ant/AntBuildTriggerTest.java,4,0,0,0,0,0,0.666666667
src/java/org/apache/ivy/plugins/lock/ArtifactLockStrategy.java,0,0,0,0,16,0,2.666666667
src/java/org/apache/ivy/core/module/descriptor/DefaultDependencyArtifactDescriptor.java,25,0,0,0,0,0,4.166666667
test/java/org/apache/ivy/plugins/resolver/FileSystemResolverTest.java,81,2,34,0,0,2,19.83333333
test/java/org/apache/ivy/MainTest.java,0,43,0,0,0,34,12.83333333
src/java/org/apache/ivy/plugins/report/XmlReportOutputter.java,78,0,4,0,0,0,13.66666667
src/java/org/apache/ivy/core/IvyThread.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/plugins/resolver/util/ResolverHelper.java,11,7,0,8,14,0,6.666666667
src/java/org/apache/ivy/core/module/descriptor/DefaultDependencyDescriptor.java,35,7,0,0,0,6,8
src/java/org/apache/ivy/osgi/core/OSGiManifestParser.java,0,0,0,0,0,18,3
test/java/org/apache/ivy/ant/IvyInstallTest.java,178,0,0,57,0,0,39.16666667
test/java/org/apache/ivy/util/url/IvyAuthenticatorTest.java,0,0,0,0,0,119,19.83333333
src/example/multi-project/projects/version/src/version/Version.java,0,0,2,0,0,0,0.333333333
src/java/org/apache/ivy/core/resolve/ResolveEngine.java,445,5,197,46,67,19,129.8333333
src/java/org/apache/ivy/plugins/report/XmlReportParser.java,0,0,0,4,4,13,3.5
test/java/org/apache/ivy/ant/IvyInfoTest.java,7,0,0,0,0,0,1.166666667
test/java/org/apache/ivy/plugins/conflict/StrictConflictManagerTest.java,27,0,0,0,0,0,4.5
test/java/org/apache/ivy/util/IvyPatternHelperTest.java,6,0,9,0,0,0,2.5
test/java/org/apache/ivy/ant/IvyRetrieveBuildFileTest.java,36,0,0,0,0,0,6
test/java/org/apache/ivy/plugins/circular/IgnoreCircularDependencyStrategyTest.java,4,0,0,0,0,0,0.666666667
src/java/org/apache/ivy/plugins/conflict/LatestConflictManager.java,36,15,0,0,10,0,10.16666667
src/java/org/apache/ivy/plugins/matcher/MapMatcher.java,7,0,0,0,0,0,1.166666667
src/java/org/apache/ivy/plugins/resolver/IBiblioResolver.java,276,88,2,15,13,0,65.66666667
src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,452,0,0,0,0,0,75.33333333
src/java/org/apache/ivy/plugins/parser/m2/PomDependencyMgt.java,2,3,0,0,0,0,0.833333333
src/java/org/apache/ivy/core/module/descriptor/DependencyArtifactDescriptor.java,6,0,0,0,0,0,1
test/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParserTest.java,263,83,14,62,1,166,98.16666667
src/java/org/apache/ivy/core/sort/SortOptions.java,55,0,0,0,0,0,9.166666667
test/java/org/apache/ivy/plugins/version/VersionRangeMatcherTest.java,59,0,0,0,0,0,9.833333333
test/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorWriterTest.java,0,0,13,26,0,0,6.5
test/java/org/apache/ivy/IvyTest.java,88,0,0,0,0,0,14.66666667
